"","RA.L_N","RA.H_N","RA.H_J","RA.L_J","RB.L_N","RB.H_N","RB.H_J","RB.L_J","RC.L_N","RC.H_N","RC.H_J","RC.L_J","RD.L_N","RD.H_N","RD.H_J","RD.L_J","RE.L_N","RE.H_N","RE.H_J","RE.L_J","S1.L_N","S1.H_N","S1.H_J","S1.L_J","S2.L_N","S2.H_N","S2.H_J","S2.L_J","S3.L_N","S3.H_N","S3.H_J","S3.L_J","S4.L_N","S4.H_N","S4.H_J","S4.L_J","S5.L_N","S5.H_N","S5.H_J","S5.L_J","S6.L_N","S6.H_N","S6.H_J","S6.L_J","S7U.L_N","S7B.L_N","S7U.H_N","S7B.H_N","S7U.H_J","S7B.H_J","S7U.L_J","S7B.L_J","S8U.L_N","S8B.L_N","S8U.H_N","S8B.H_N","S8U.H_J","S8B.H_J","S8U.L_J","S8B.L_J"
"Acanthogobius flavimanus",12,0,16,24,38,0,117,24,202,233,0,71,85,79,516,506,73,0,188,607,0,188,0,40,0,0,0,165,0,0,195,0,0,0,0,0,0,0,57,102,117,0,0,0,0,0,0,0,191,0,21,161,0,0,0,0,0,0,0,0
"Acanthopagrus latus",161,13,0,0,430,135,0,0,422,734,0,13,365,54,28,235,396,630,176,0,0,0,2414,1208,0,479,2295,1119,13,221,2154,154,0,0,566,242,175,0,893,543,0,0,291,154,0,392,0,0,756,0,243,862,0,0,0,0,0,0,0,0
"Acanthopagrus sp.",602,74,566,1011,1639,776,1197,2240,4908,7754,273,4511,1851,1645,5602,7169,3680,3357,6446,6184,4703,4115,8217,4320,394,4818,5012,2853,36,7120,8355,1609,0,6594,2890,4664,809,0,2908,2350,4570,5476,2295,1926,752,2355,0,0,5060,5603,1754,2571,2032,397,1606,472,2781,2859,2069,2183
"Acentrogobius pflaumii",0,0,0,0,0,0,0,0,0,0,0,120,48,852,810,871,231,1700,1768,569,5186,4077,9815,2795,6047,8458,7149,2593,74,3691,2697,2006,0,3488,2337,569,793,0,6517,4825,7738,3629,534,1073,1323,854,40,0,511,1661,2695,3246,0,0,322,0,0,124,0,0
"Anguilla japonica",96,30,341,77,110,82,200,96,290,287,189,46,90,0,63,213,155,111,101,45,0,97,0,0,0,0,123,0,0,0,0,0,0,0,115,0,0,0,94,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arothron firmamentum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0
"Benthosema pterotum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,30,0,0,44,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,201,245,287,486,1538,2052
"Beryx splendens",34,0,2047,861,0,14,994,2192,60,0,1449,419,35,0,0,929,44,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Callogobius tanegasimae",0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canthigaster rivulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,266
"Caranx heberi",0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caranx ignobilis",0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caranx papuensis",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caranx sp.",0,11,0,0,16,22,0,0,0,210,0,0,30,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carassius spp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaenogobius annularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,145,148,0,0,0,47,0,0,0,0,0,35,291,430,0,0,16,0,0,0,0,69,0,0,250,25,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0
"Chaetodontoplus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,745,0,0,0,0,0
"Cheilodactylus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,142,201,70,0,0,0,0,0,0,0,28,0,449,123,12,0,0,249,0,641,0,0,47,505,54,0,0,103,0,0,110,0,377,531,419,0,94,0,0
"Chelidonichthys sp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chelon affinis",0,0,0,10,0,0,0,0,0,0,0,23,0,54,0,147,0,0,0,223,0,0,0,0,0,0,76,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0
"Cociella crocodila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,44,0
"Ctenopharyngodon idella",0,12,79,14,0,96,137,18,92,59,45,0,48,22,0,62,47,0,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprinus carpio",4062,3354,53217,7795,14547,16963,39773,8365,13989,6791,49389,4294,9098,1491,2316,13195,10531,4046,2604,21773,601,185,719,2420,0,500,154,1000,0,0,489,459,0,0,460,76,881,0,167,861,3110,116,177,79,1590,853,0,0,2015,595,274,264,0,0,0,0,0,0,0,0
"Dasyatis akajei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,45,0,0,0
"Decapterus maruadsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,50,0,0,0,0,0,0,0,0,0,0,31,0,0,0,251,0,0,0,0
"Diaphus watasei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,111,322,0,0,0
"Dictyosoma burgeri Form a",0,0,0,0,0,0,0,0,0,0,0,0,0,77,578,601,64,0,177,353,0,0,0,0,0,0,74,0,0,187,106,615,0,0,0,34,0,0,0,0,290,0,114,0,0,0,0,0,312,147,26,46,0,0,0,0,0,0,0,0
"Dictyosoma rubrimaculatum",0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,0,0,0,0,0,0,0,310,0,0,0,55,59,0,0,834,23,0,600,0,317,0,0,857,222,0,0,91,72,0,0,0,0,562,248,223,241,0,0,28,0,0,0,0,0
"Ditrema sp.1",0,0,0,0,0,0,0,0,0,124,0,0,19,94,0,0,21,234,0,0,0,883,0,0,56,2643,0,0,0,4435,0,0,0,1073,0,0,0,0,0,0,1780,1903,0,0,459,606,0,0,0,0,0,0,279,0,0,142,0,0,0,0
"Eleotris oxycephala",0,0,0,0,0,75,0,0,0,0,0,0,15,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eleotris sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engraulis japonicus",0,0,0,0,12,72,0,0,93,108,0,0,122,266,0,0,142,1105,0,0,6176,2637,1194,286,803,2930,354,12,0,560,323,0,0,265,140,80,1123,0,222,183,2009,2079,167,112,1432,896,0,0,275,3395,521,703,6785,3486,2204,4398,146,515,1132,347
"Epinephelus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Equulites rivulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,174,0,0,0,0,328,82,0,154,248,0,0,0,80,132,101,0,0,169,0,426,107,11,0,427,0,0,419,342,112,366,0,0,212,0,0,108,708,236
"Etrumeus teres",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,34,0,0,203,54,0,0,66,0,0,0,25,45,87,0,0,80,0,0,0,19,144,185,0,0,0,0,0,79,0,0,0,0,0,200,0,436
"Eviota abax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"Evynnis / Dentex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,72,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,58,0,259,0,0,32,0,29,0,0,0,264,0,0,0,0,75,660,281,0,650,803
"Favonigobius gymnauchen / Acanthogobius lactipes",108,27,1652,35,517,170,665,90,609,257,578,107,403,66,93,251,509,259,270,633,0,0,0,0,0,0,107,252,0,0,0,140,0,0,23,28,0,0,56,0,17,0,0,45,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Favonigobius sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,373,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gadus sp.1",13,0,0,0,0,0,0,0,29,0,0,0,35,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gerres equulus",10,0,0,0,0,0,0,0,46,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gerres filamentosus",16,0,45,0,0,29,0,70,29,0,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Girella punctata",0,0,0,0,0,0,24,0,0,0,0,14,12,47,678,690,17,488,818,582,0,204,511,670,0,0,551,353,0,964,1169,303,0,325,301,552,0,0,140,101,375,0,629,100,0,564,0,0,1006,1521,365,920,7704,1875,24011,15911,2767,938,1979,2574
"Glossogobius olivaceus",0,0,0,0,0,0,0,0,19,37,0,0,0,0,0,0,18,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gymnogobius sp.",0,0,275,88,51,0,93,131,81,107,95,108,62,26,182,272,21,0,24,336,0,0,0,0,0,0,0,21,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gymnothorax sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,176,27,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0
"Halichoeres poecilopterus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,30,0,69,0,0,0,0,0,0,941,0,0,0,0,0,94,128,292,0,77,0,0,0,0,67,242,0,0,251,747,115,116,0,0,0,586
"Halichoeres tenuispinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,47,0,135,0,0,0,0
"Harpadon microchir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0
"Hexagrammos sp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,95,0,0,0,0,0
"Hyporhamphus sajori",0,0,152,207,0,0,62,597,0,0,92,89,0,0,118,17,0,0,231,0,0,0,0,0,0,0,0,82,0,0,102,113,0,0,100,0,0,0,136,0,0,0,0,13,0,75,0,0,50,0,255,74,0,0,0,0,0,0,0,0
"Inimicus japonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,77,0,22,53,0,0,0,0,0,0,0,0
"Istigobius campbelli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,685,208,116,0,0,0,33,0,98,140,38,0,0,77,11,0,0,93,0,0,0,73,0,0,459,0,0,0,0,38,0,0,0,0,0,0,0,0,0
"Istigobius hoshinonis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,869,0,0,0,36,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,33,0,0,0,0,121,0,0,0,0,48,0,0,0,0,0,0
"Jaydia lineata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,87,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
"Katsuwonus pelamis",0,0,0,0,14,0,0,0,12,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Konosirus punctatus",959,52,0,0,951,1095,0,23,1325,2305,0,0,882,673,1455,466,1087,1498,901,531,2656,1156,462,405,9664,7192,514,2388,21,4420,1601,580,0,34712,1556,1886,1369,0,378,471,11674,4276,206,1425,3625,3981,12,0,826,133,679,745,0,64,104,0,0,100,0,145
"Kuhlia marginata",0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lagocephalus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,87,0,147,22,0,84,154,287,0,127,0,0,0,90,0,0,0,357,17,810,0,0,30,0,171,0,0,53,122,0,42,0,0,0,0,0,0,0,0
"Lateolabrax japonicus",569,27,878,806,1301,400,566,919,1891,2831,422,2046,1565,1372,3249,3525,1214,1778,4390,3512,951,0,12944,6706,377,19,16048,4001,0,0,12430,1226,0,0,11477,3082,263,0,11530,5683,1124,589,4724,1948,372,1182,0,0,10122,18221,4322,6582,100,0,754,620,35204,17069,35912,23479
"Lateolabrax latus",0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,17,0,0,0,0,0,0,0,83,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0
"Lepidotrigla sp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
"Leucopsarion petersii / Priolepis boreus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,113,0,0,0,0,0,349
"Luciogobius pallidus",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luciogobius sp.1",0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mugil cephalus",42869,4821,18114,26805,40516,36041,68810,33952,38931,41410,15610,57714,23650,7865,22967,41206,24909,23012,27645,39006,6731,4741,6432,9406,2285,10760,14796,15137,36,11882,43959,9098,0,2651,5749,19989,2984,0,9748,7661,17576,7045,5732,5822,7415,2719,0,0,20472,10847,6398,9898,4359,1505,1174,801,447,217,554,1690
"Mugilogobius abei",0,0,49,0,0,34,0,131,167,226,0,126,113,24,0,42,130,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myersina filifer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,110,0,0,0,0,0,0,0,30,0,0,129,0,161,0,0,60,0,0,0,0,0,0,0,0,0,0,27,102,0,0,0,0,0,0,0,0
"Neoclinus bryope",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,38,0,0,121,98,0,77,254,971,0,0,223,108,0,0,0,44,1669,0,0,111,0,0,0,0,0,690,38,67,0,0,0,0,0,0,0,0
"Nuchequula nuchalis",112,0,0,0,45,140,0,0,105,216,0,0,108,34,0,0,60,200,144,0,690,0,319,391,0,0,159,239,0,117,68,0,0,0,0,80,0,0,95,370,0,0,0,0,0,0,0,0,0,0,59,445,0,0,0,0,0,0,0,0
"Omobranchus elegans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,200,0,0,14,0,649,0,62,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,13,0,0,0,0,188,0,0,115,0,0,0,0,0,0,0,0
"Omobranchus punctatus",0,0,0,0,0,0,0,0,0,45,0,0,10,0,0,0,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
"Oncorhynchus sp.1",0,0,0,0,0,0,0,0,20,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Onigocia spinosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
"Ophisurus macrorhynchos",0,0,0,0,0,0,0,0,11,42,0,0,0,20,0,0,27,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,21,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
