depth,NL_RC,NL_S3,NL_S8,NH_RC,NH_S3,NH_S8,JH_RC,JH_S3,JH_S8,JL_RC,JL_S3,JL_S8
0,16.86,23.79,32.67,23.77,31.56,32.92,28.47,33.83,34.41,23.05,30.26,34.59
-0.1,17.17,27.04,32.68,24.39,31.59,32.92,28.6,33.84,34.43,23.3,30.05,34.6
-0.2,17.39,28.91,32.68,24.93,31.96,32.92,28.71,33.77,34.43,23.68,31.2,34.61
-0.3,20.2,30.25,32.68,25.44,32.04,32.92,29.16,33.88,34.42,26.57,32.01,34.59
-0.4,24.83,31.79,32.69,28.17,32.18,32.91,31.72,33.89,34.42,27.97,32.38,34.6
-0.5,27.87,32.07,32.69,29.34,32.2,32.93,32.4,33.89,34.42,32.02,32.71,34.6
-0.6,28.25,32.18,32.69,30.74,32.19,32.94,32.42,33.91,34.42,32.5,33.46,34.59
-0.7,28.68,32.21,32.68,31.31,32.2,32.94,32.73,33.94,34.41,32.82,33.86,34.6
-0.8,28.92,32.21,32.68,30.79,32.2,32.93,32.82,33.95,34.42,32.88,33.83,34.59
-0.9,29.46,32.23,32.69,31.52,32.2,32.94,32.85,33.94,34.42,33.3,34.02,34.59
-1,29.82,32.23,32.68,30.99,32.22,32.94,33.43,33.98,34.42,33.33,33.95,34.61
-1.1,30.11,32.24,32.68,31.71,32.26,32.94,33.54,33.96,34.38,33.41,33.93,34.6
-1.2,30.29,32.25,32.68,31.79,32.27,32.94,33.55,33.95,34.43,33.49,33.95,34.61
-1.3,30.5,32.26,32.68,31.73,32.26,32.94,33.62,33.99,34.42,33.57,33.95,34.59
-1.4,30.69,32.29,32.68,31.9,32.26,32.93,33.61,33.99,34.39,33.6,34,34.61
-1.5,30.95,32.3,32.68,31.91,32.26,32.94,33.67,33.98,34.39,33.6,33.97,34.63
-1.6,31.14,32.27,32.68,31.98,32.26,32.94,33.71,33.98,34.4,33.6,33.98,34.61
-1.7,31.26,32.28,32.68,32.01,32.27,32.94,33.72,33.97,34.41,33.6,33.98,34.6
-1.8,31.37,32.28,32.68,32,32.24,32.95,33.72,33.97,34.38,33.6,33.95,34.59
-1.9,31.44,32.28,32.68,32.01,32.24,32.95,33.73,33.96,34.38,33.61,NA,34.59
-2,31.47,NA,32.68,32.03,32.25,32.94,33.75,33.97,34.39,33.61,NA,34.6
-2.1,31.55,NA,32.68,32.02,32.25,32.96,33.74,33.97,34.41,33.61,NA,34.56
-2.2,NA,NA,32.68,32.03,32.2,32.98,33.75,33.97,34.4,33.61,NA,34.57
-2.3,NA,NA,32.68,32.03,32.22,32.96,33.74,33.97,34.39,33.59,NA,34.59
-2.4,NA,NA,32.68,32.03,32.17,32.99,33.74,33.97,34.4,NA,NA,34.58
-2.5,NA,NA,32.68,32.04,32.18,32.96,33.74,33.97,34.4,NA,NA,34.56
-2.6,NA,NA,32.68,32.05,32.23,33,33.73,NA,34.4,NA,NA,34.58
-2.7,NA,NA,32.68,32.05,32.14,32.97,33.74,NA,34.4,NA,NA,34.61
-2.8,NA,NA,32.69,32.05,32.16,33,33.74,NA,34.4,NA,NA,34.58
-2.9,NA,NA,32.69,32.06,NA,32.99,33.75,NA,34.4,NA,NA,34.63
-3,NA,NA,32.69,32.06,NA,33,33.75,NA,34.4,NA,NA,34.59
-3.1,NA,NA,32.69,NA,NA,32.99,NA,NA,34.4,NA,NA,34.59
-3.2,NA,NA,32.69,NA,NA,33,NA,NA,34.4,NA,NA,34.59
-3.3,NA,NA,32.69,NA,NA,33,NA,NA,34.4,NA,NA,34.6
-3.4,NA,NA,32.68,NA,NA,33,NA,NA,34.4,NA,NA,34.55
-3.5,NA,NA,32.68,NA,NA,33.01,NA,NA,34.39,NA,NA,34.58
-3.6,NA,NA,32.68,NA,NA,33.06,NA,NA,34.39,NA,NA,34.6
-3.7,NA,NA,32.68,NA,NA,33.05,NA,NA,34.39,NA,NA,34.59
-3.8,NA,NA,32.68,NA,NA,33.07,NA,NA,34.39,NA,NA,34.6
-3.9,NA,NA,32.69,NA,NA,33.07,NA,NA,34.39,NA,NA,34.59
-4,NA,NA,32.68,NA,NA,33.08,NA,NA,34.38,NA,NA,34.58
-4.1,NA,NA,32.68,NA,NA,33.08,NA,NA,34.37,NA,NA,34.59
-4.2,NA,NA,32.68,NA,NA,33.09,NA,NA,34.35,NA,NA,34.57
-4.3,NA,NA,32.69,NA,NA,33.09,NA,NA,34.34,NA,NA,34.59
-4.4,NA,NA,32.68,NA,NA,33.11,NA,NA,34.39,NA,NA,34.58
-4.5,NA,NA,32.68,NA,NA,33.11,NA,NA,34.4,NA,NA,34.58
-4.6,NA,NA,32.68,NA,NA,33.1,NA,NA,34.33,NA,NA,34.63
-4.7,NA,NA,32.68,NA,NA,33.1,NA,NA,34.26,NA,NA,34.6
-4.8,NA,NA,32.68,NA,NA,33.11,NA,NA,34.33,NA,NA,34.6
-4.9,NA,NA,32.68,NA,NA,33.11,NA,NA,34.34,NA,NA,34.59
-5,NA,NA,32.69,NA,NA,33.11,NA,NA,34.34,NA,NA,34.6
-5.1,NA,NA,32.68,NA,NA,33.12,NA,NA,34.33,NA,NA,34.59
-5.2,NA,NA,32.68,NA,NA,33.12,NA,NA,34.35,NA,NA,34.59
-5.3,NA,NA,32.68,NA,NA,33.12,NA,NA,34.35,NA,NA,34.6
-5.4,NA,NA,32.68,NA,NA,33.12,NA,NA,34.32,NA,NA,34.6
-5.5,NA,NA,32.68,NA,NA,33.13,NA,NA,34.39,NA,NA,34.6
-5.6,NA,NA,32.68,NA,NA,33.13,NA,NA,34.36,NA,NA,34.59
-5.7,NA,NA,32.68,NA,NA,33.13,NA,NA,34.33,NA,NA,34.59
-5.8,NA,NA,32.68,NA,NA,33.13,NA,NA,34.25,NA,NA,34.57
-5.9,NA,NA,32.68,NA,NA,33.13,NA,NA,34.31,NA,NA,34.57
-6,NA,NA,32.68,NA,NA,33.15,NA,NA,34.35,NA,NA,34.64
-6.1,NA,NA,32.68,NA,NA,33.15,NA,NA,34.31,NA,NA,34.57
-6.2,NA,NA,32.68,NA,NA,33.16,NA,NA,34.3,NA,NA,34.57
-6.3,NA,NA,32.68,NA,NA,33.16,NA,NA,34.31,NA,NA,34.57
-6.4,NA,NA,32.68,NA,NA,33.16,NA,NA,34.34,NA,NA,34.6
-6.5,NA,NA,32.68,NA,NA,33.16,NA,NA,34.33,NA,NA,34.58
-6.6,NA,NA,32.68,NA,NA,33.16,NA,NA,34.29,NA,NA,34.57
-6.7,NA,NA,32.68,NA,NA,33.17,NA,NA,34.33,NA,NA,34.61
-6.8,NA,NA,32.68,NA,NA,33.16,NA,NA,34.32,NA,NA,34.57
-6.9,NA,NA,32.68,NA,NA,33.17,NA,NA,34.32,NA,NA,34.59
-7,NA,NA,32.68,NA,NA,33.17,NA,NA,34.32,NA,NA,34.61
-7.1,NA,NA,32.68,NA,NA,33.18,NA,NA,34.32,NA,NA,34.58
-7.2,NA,NA,32.68,NA,NA,33.18,NA,NA,34.34,NA,NA,34.63
-7.3,NA,NA,32.68,NA,NA,33.19,NA,NA,34.34,NA,NA,34.62
-7.4,NA,NA,32.68,NA,NA,33.19,NA,NA,34.32,NA,NA,34.62
-7.5,NA,NA,32.68,NA,NA,33.19,NA,NA,34.32,NA,NA,NA
-7.6,NA,NA,32.68,NA,NA,33.26,NA,NA,34.33,NA,NA,NA
-7.7,NA,NA,32.68,NA,NA,33.27,NA,NA,34.35,NA,NA,NA
-7.8,NA,NA,NA,NA,NA,33.31,NA,NA,34.32,NA,NA,NA
-7.9,NA,NA,NA,NA,NA,33.34,NA,NA,34.32,NA,NA,NA
-8,NA,NA,NA,NA,NA,33.44,NA,NA,34.32,NA,NA,NA
-8.1,NA,NA,NA,NA,NA,33.47,NA,NA,34.32,NA,NA,NA
-8.2,NA,NA,NA,NA,NA,33.47,NA,NA,34.32,NA,NA,NA
-8.3,NA,NA,NA,NA,NA,33.49,NA,NA,34.32,NA,NA,NA
-8.4,NA,NA,NA,NA,NA,33.48,NA,NA,34.32,NA,NA,NA
-8.5,NA,NA,NA,NA,NA,NA,NA,NA,34.32,NA,NA,NA
-8.6,NA,NA,NA,NA,NA,NA,NA,NA,34.32,NA,NA,NA
-8.7,NA,NA,NA,NA,NA,NA,NA,NA,34.32,NA,NA,NA
-8.8,NA,NA,NA,NA,NA,NA,NA,NA,34.32,NA,NA,NA
