"","X","Month","Tide","Symbol","Site","Site2","Group1","Group2","Group3","UB","pair_id","remove","long","lat","Depth","WT","PSU","Turb.","Chl_a","qPCR_Carp","ttl_reads","n_sp","en_sp","Cyprinus.carpio","Mugil.cephalus","Lateolabrax.japonicus","Girella.punctata","dominant_sp","dominant_sp_reads"
"1",1,"J","High","RA.H_J","RA","RA","R","R","R","U",16,FALSE,139.6894,35.243375,1.1,11.72,27.46,2.04,2.06,450188,88458,33,2.42963221433321,0.601607542562572,0.20477514752764,0.00992561441588098,0,"Cyprinus carpio",0.601607542562572
"2",2,"N","High","RA.H_N","RA","RA","R","R","R","U",1,FALSE,139.6894,35.243375,1.3,18.76,25.29,2.26,15.36,212384,9241,18,2.45900652326046,0.362947732929337,0.521696786062114,0.00292176171410021,0,"Mugil cephalus",0.521696786062114
"3",3,"J","Low","RA.L_J","RA","RA","R","R","R","U",16,FALSE,139.6894,35.243375,0.8,14.43,30.97,2.7,1.24,589981,41082,29,2.144560955435,0.189742466286938,0.652475536731415,0.0196192979893871,0,"Mugil cephalus",0.652475536731415
"4",4,"N","Low","RA.L_N","RA","RA","R","R","R","U",1,FALSE,139.6894,35.243375,0.4,19.55,26.44,5.07,15.12,53896,50960,30,1.39883351107728,0.0797095761381476,0.8412284144427,0.0111656200941915,0,"Mugil cephalus",0.8412284144427
"5",5,"J","High","RB.H_J","RB","RB","R","R","R","U",17,FALSE,139.6989861,35.23674722,2,11.81,27.86,1.86,3.27,569381,120015,37,2.27138276744717,0.331400241636462,0.573344998541849,0.00471607715702204,0.000199975003124609,"Mugil cephalus",0.573344998541849
"6",6,"N","High","RB.H_N","RB","RB","R","R","R","U",2,FALSE,139.6989861,35.23674722,2.2,18.1,24.29,2.03,7.32,193906,61263,31,2.34694669808836,0.276888170673979,0.588299626201786,0.00652922644989635,0,"Mugil cephalus",0.588299626201786
"7",7,"J","Low","RB.L_J","RB","RB","R","R","R","U",17,FALSE,139.6989861,35.23674722,1.5,14.15,30.38,1.95,1.24,523794,54401,37,2.37374127813432,0.153765555780225,0.624106174518851,0.0168930718185327,0.000147056120291906,"Mugil cephalus",0.624106174518851
"8",8,"N","Low","RB.L_N","RB","RB","R","R","R","U",2,FALSE,139.6989861,35.23674722,1.1,19.72,28.6,6.86,15.12,155843,64653,34,2.23666826538643,0.225001160038977,0.62666852272903,0.0201228094597312,0,"Mugil cephalus",0.62666852272903
"9",9,"J","High","RC.H_J","RC","RC","R","R","R","U",18,FALSE,139.7049722,35.23181111,3,11.75,29.84,1.09,0.95,16799,74736,30,2.06434400815828,0.660846178548491,0.208868550631556,0.00564654249625348,0,"Cyprinus carpio",0.660846178548491
"10",10,"N","High","RC.H_N","RC","RC","R","R","R","U",3,FALSE,139.7049722,35.23181111,3,17.08,26.01,1.13,3.22,18745,80679,47,3.40350566580542,0.0841730809752228,0.513268632481811,0.0350896763717944,0,"Mugil cephalus",0.513268632481811
"11",11,"J","Low","RC.L_J","RC","RC","R","R","R","U",18,FALSE,139.7049722,35.23181111,2.3,13,26.1,1.37,0.69,121070,76583,43,1.72941881703416,0.0560698849614144,0.753613726283901,0.0267161119308463,0.000182808195030229,"Mugil cephalus",0.753613726283901
"12",12,"N","Low","RC.L_N","RC","RC","R","R","R","U",3,FALSE,139.7049722,35.23181111,2.1,17.23,20.72,1.74,3.33,102437,76166,42,3.20711575544332,0.183664627261508,0.511133576661502,0.0248273507864401,0,"Mugil cephalus",0.511133576661502
"13",13,"J","High","RD.H_J","RD","RD","R","R","R","U",19,FALSE,139.7104972,35.22953611,2.9,12.24,31.75,0.91,0.9,4167,61398,50,5.22236686365154,0.0377210984071142,0.374067559203883,0.0529170331281149,0.0110427049741034,"Mugil cephalus",0.374067559203883
"14",14,"N","High","RD.H_N","RD","RD","R","R","R","U",4,FALSE,139.7104972,35.22953611,3.9,17.26,29.42,0.81,1.44,8464,21727,55,6.11558567301339,0.0686242923551342,0.361991991531274,0.063147236157776,0.00216320706954481,"Mugil cephalus",0.361991991531274
"15",15,"J","Low","RD.L_J","RD","RD","R","R","R","U",19,FALSE,139.7104972,35.22953611,2.4,12.59,26.85,1.45,0.76,52467,89129,45,3.91100043852703,0.148043846559481,0.462318661715042,0.0395494171369588,0.00774158803531959,"Mugil cephalus",0.462318661715042
"16",16,"N","Low","RD.L_N","RD","RD","R","R","R","U",4,FALSE,139.7104972,35.22953611,3.1,16.76,22.76,1.29,1.52,131740,48138,45,3.45078754933023,0.188998296564045,0.491295857742324,0.0325106984087415,0.000249283310482363,"Mugil cephalus",0.491295857742324
"17",17,"J","High","RE.H_J","RE","RE","R","R","R","U",20,FALSE,139.7148417,35.22674722,3.3,12.11,31.83,0.91,0.85,4116,67189,64,5.04083015034157,0.038756344044412,0.411451279227254,0.0653380761731831,0.012174611915641,"Mugil cephalus",0.411451279227254
"18",18,"N","High","RE.H_N","RE","RE","R","R","R","U",5,FALSE,139.7148417,35.22674722,3.3,17.29,29.97,0.67,1.49,6120,73796,42,6.06701605563496,0.0548268198818364,0.311832619654182,0.0240934467992845,0.00661282454333568,"Mugil cephalus",0.311832619654182
"19",19,"J","Low","RE.L_J","RE","RE","R","R","R","U",20,FALSE,139.7148417,35.22674722,2.7,12.77,28.74,1.35,0.9,38982,95123,49,4.2007770908138,0.228893117332296,0.410058555764642,0.0369206185675389,0.00611839407924477,"Mugil cephalus",0.410058555764642
"20",20,"N","Low","RE.L_N","RE","RE","R","R","R","U",5,FALSE,139.7148417,35.22674722,2.6,16.91,23.45,1.14,1.65,97750,54126,49,3.78828886266815,0.194564534604441,0.460203968517903,0.0224291468056017,0.000314081956915346,"Mugil cephalus",0.460203968517903
"21",21,"J","High","S1.H_J","S1","S1","IB","BD","S","U",21,FALSE,139.7148917,35.22085,9.2,13.92,33.99,1.07,0.54,472,98995,64,8.10135562002521,0.00726299308045861,0.0649729784332542,0.130754078488813,0.0051618768624678,"Scomber sp.",0.272286479115107
"22",22,"N","High","S1.H_N","S1","S1","IB","BD","S","U",6,FALSE,139.7148917,35.22085,9.1,17.6,32.07,0.57,0.95,404,35225,37,11.8029588427665,0.00525195173882186,0.134591909155429,0,0.00579134137686302,"Mugil cephalus",0.134591909155429
"23",23,"J","Low","S1.L_J","S1","S1","IB","BD","S","U",21,FALSE,139.7148917,35.22085,8.6,13.77,33.66,1.11,0.7,2739,57700,60,10.9993861562228,0.0419410745233969,0.163015597920277,0.116221837088388,0.0116117850953206,"Scomber sp.",0.16946273830156
"24",24,"N","Low","S1.L_N","S1","S1","IB","BD","S","U",6,FALSE,139.7148917,35.22085,12,17.76,32.13,1,1.06,521,57838,30,12.0745482311,0.0103910923614233,0.116376776513711,0.0164424772640824,0,"Trachurus sp.1",0.117621632836543
"25",25,"J","High","S2.H_J","S2","S2","IB","BS","S","U",22,FALSE,139.7143194,35.22511944,2.5,13.84,34,1.04,0.85,683,89258,68,8.97249713405128,0.0017253355441529,0.165766653969392,0.179793407873804,0.00617311613524838,"Scomber sp.",0.179939053082077
"26",26,"N","High","S2.H_N","S2","S2","IB","BS","S","U",7,FALSE,139.7143194,35.22511944,2.1,17.52,32.2,0.51,0.83,176,56092,30,10.1567132519316,0.00891392711973187,0.19182771161663,0.000338729230549811,0,"Mugil cephalus",0.19182771161663
"27",27,"J","Low","S2.L_J","S2","S2","IB","BS","S","U",22,FALSE,139.7143194,35.22511944,1.4,13.83,33.79,1.32,0.72,1793,47442,75,7.39375808938486,0.021078369377345,0.319063277264871,0.0843345558787572,0.00744066439020277,"Mugil cephalus",0.319063277264871
"28",28,"N","Low","S2.L_N","S2","S2","IB","BS","S","U",7,FALSE,139.7143194,35.22511944,1.4,17.02,32.13,0.71,1.55,126,27606,28,5.08466878869907,0,0.0827718611895965,0.0136564514960516,0,"Konosirus punctatus",0.350068825617619
"29",29,"J","High","S3.H_J","S3","S3","IB","BS","S","U",23,FALSE,139.7166667,35.22624444,2.5,13.41,33.98,1.39,0.85,303,108659,65,5.0848232123232,0.00450031750706338,0.404559217368097,0.114394573850302,0.0107584277418345,"Mugil cephalus",0.404559217368097
"30",30,"N","High","S3.H_N","S3","S3","IB","BS","S","U",8,FALSE,139.7166667,35.22624444,2.8,17.61,32.22,0.39,0.65,122,51370,35,7.90100499303934,0,0.231302316527156,0,0.018765816624489,"Mugil cephalus",0.231302316527156
"31",31,"J","Low","S3.L_J","S3","S3","IB","BS","S","U",23,FALSE,139.7166667,35.22624444,1.8,13.89,33.95,1.72,0.85,2230,33651,63,7.61213206103283,0.0136400106980476,0.270363436450626,0.0364327954592731,0.0090041900686458,"Mugil cephalus",0.270363436450626
"32",32,"N","Low","S3.L_N","S3","S3","IB","BS","S","U",8,TRUE,139.7166667,35.22624444,1.9,17.7,32.23,0.47,1.86,1285,585,12,3.62637886638904,0,0.0615384615384615,0,0,"Lagocephalus sp.",0.490598290598291
"33",33,"J","High","S4.H_J","S4","S4","IB","BS","S","U",24,FALSE,139.7203889,35.227825,3.7,14.09,34.05,1.28,0.95,394,55295,64,9.51115712723779,0.00831901618591193,0.103969617506104,0.207559453838503,0.00544353015643367,"Lateolabrax japonicus",0.207559453838503
"34",34,"N","High","S4.H_N","S4","S4","IB","BS","S","U",9,FALSE,139.7203889,35.227825,4.3,17.65,32.27,0.41,0.79,107,60419,28,2.84611624552375,0,0.043876926132508,0,0.00537910260017544,"Konosirus punctatus",0.574521259868584
"35",35,"J","Low","S4.L_J","S4","S4","IB","BS","S","U",24,FALSE,139.7203889,35.227825,3.3,14.41,34.05,2.18,1.08,385,47330,65,4.87743213202038,0.00160574688358335,0.422332558630889,0.0651172617789985,0.0116627931544475,"Mugil cephalus",0.422332558630889
"36",36,"N","Low","S4.L_N","S4","S4","IB","BS","S","U",9,TRUE,139.7203889,35.227825,3.2,17.72,32.3,0.46,0.72,1,0,0,NA,0,0,0,0,"Acanthogobius flavimanus",0
"37",37,"J","High","S5.H_J","S5","S5","IB","BD","S","U",25,FALSE,139.7170694,35.22412222,10,13.87,34,0.95,0.89,313,66907,61,8.5860342382313,0.00249600191310326,0.145694770352878,0.172328754838806,0.0020924566936195,"Scomber sp.",0.206734721329607
"38",38,"N","High","S5.H_N","S5","S5","IB","BD","S","U",10,TRUE,139.7170694,35.22412222,10.1,17.76,32.09,1.27,0.97,969,9,2,1.97560975609756,0.444444444444444,0.555555555555556,0,0,"Mugil cephalus",0.555555555555556
"39",39,"J","Low","S5.L_J","S5","S5","IB","BD","S","U",25,FALSE,139.7170694,35.22412222,9.2,13.89,33.83,0.87,0.95,1171,47071,60,9.30979552151867,0.0182915170699581,0.162754137366956,0.120732510462918,0.00214569480147012,"Trachurus sp.",0.182638992160778
"40",40,"N","Low","S5.L_N","S5","S5","IB","BD","S","U",10,FALSE,139.7170694,35.22412222,9.2,17.69,31.95,0.51,1.06,335,12986,29,10.6373170849864,0.0678422916987525,0.229785923302018,0.0202525797012167,0,"Mugil cephalus",0.229785923302018
"41",41,"J","High","S6.H_J","S6","S6","IB","BS","S","U",26,FALSE,139.7199861,35.22576944,5.9,13.99,34.11,1.11,0.77,349,27910,50,9.62286604206973,0.00634181297026155,0.205374417771408,0.169258330347546,0.0225367251881046,"Mugil cephalus",0.205374417771408
"42",42,"N","High","S6.H_N","S6","S6","IB","BS","S","U",11,FALSE,139.7199861,35.22576944,5.5,17.77,32.25,0.43,1.64,255,54627,34,13.7694719710892,0.00212349204605781,0.128965529866183,0.0107822139235177,0,"Scomber sp.",0.137258132425357
"43",43,"J","Low","S6.L_J","S6","S6","IB","BS","S","U",26,FALSE,139.7199861,35.22576944,4.8,13.94,33.93,2.42,1.01,352,38934,68,3.31610046666199,0.00202907484460883,0.149535110700159,0.0500333898392151,0.00256844917039092,"Trachurus sp.",0.518749678943854
"44",44,"N","Low","S6.L_N","S6","S6","IB","BS","S","U",11,FALSE,139.7199861,35.22576944,5.2,17.73,32.11,0.43,1.21,598,72272,43,8.63997816639885,0.0430318795660837,0.24319238432588,0.0155523577595749,0.00518873145893292,"Mugil cephalus",0.24319238432588
"45",45,"J","High","S7B.H_J","S7B","S7","IB","BD","S","B",28,FALSE,139.7208444,35.22418889,8.1,13.9,34.01,0.94,0.85,210,79957,57,9.22286488129322,0.0074414998061458,0.135660417474392,0.227884988181147,0.0190227247145341,"Lateolabrax japonicus",0.227884988181147
"46",46,"N","High","S7B.H_N","S7B","S7","IB","BD","S","B",13,TRUE,139.7208444,35.22418889,9.1,18.15,32.69,0.38,1.3,136,6,1,1,0,0,0,0,"Scomber sp.",1
"47",47,"J","Low","S7B.L_J","S7B","S7","IB","BD","S","B",28,FALSE,139.7208444,35.22418889,7.3,14.01,33.96,1.81,0.91,325,50405,69,11.518761295665,0.00523757563733757,0.196369407796846,0.130582283503621,0.0182521575240552,"Mugil cephalus",0.196369407796846
"48",48,"N","Low","S7B.L_N","S7B","S7","IB","BD","S","B",13,FALSE,139.7208444,35.22418889,7.8,17.96,32.52,0.46,0.83,250,29824,42,14.1939020177414,0.0286011266094421,0.091168186695279,0.0396325107296137,0.0189109442060086,"Scomber sp.",0.161447156652361
"49",49,"J","High","S7U.H_J","S7U","S7","IB","BD","S","U",27,FALSE,139.7208444,35.22418889,8.1,13.2,33.63,0.94,0.81,765,69928,63,7.98836596441256,0.0288153529344469,0.292758265644663,0.144748884566983,0.0143862258322846,"Mugil cephalus",0.292758265644663
"50",50,"N","High","S7U.H_N","S7U","S7","IB","BD","S","U",12,TRUE,139.7208444,35.22418889,9.1,17.81,32.37,0.53,1.48,98,74,5,2.87002096436059,0,0,0,0,"Acentrogobius pflaumii",0.540540540540541
"51",51,"J","Low","S7U.L_J","S7U","S7","IB","BD","S","U",27,FALSE,139.7208444,35.22418889,7.3,13.98,33.97,2.23,0.99,877,35132,54,11.7405878102412,0.00779915746328134,0.182113173175453,0.123021746555847,0.0103893885915974,"Mugil cephalus",0.182113173175453
"52",52,"N","Low","S7U.L_N","S7U","S7","IB","BD","S","U",12,FALSE,139.7208444,35.22418889,7.8,17.82,32.27,0.61,1.15,1735,27719,37,8.47881157742973,0.0573613766730402,0.267506042786536,0.0134203975612396,0,"Mugil cephalus",0.267506042786536
"53",53,"J","High","S8B.H_J","S8B","S8","OB","S","S","B",30,FALSE,139.7358417,35.21270278,8.8,15.04,34.34,0.32,0.64,1,28988,38,2.76020024127506,0,0.00748585621636539,0.588829860631986,0.0323582171933214,"Lateolabrax japonicus",0.588829860631986
"54",54,"N","High","S8B.H_N","S8B","S8","OB","S","S","B",15,FALSE,139.7358417,35.21270278,8.4,18.58,33.11,0.43,1.35,1,40611,32,5.15106810356082,0,0.019723720174337,0.0152667996355667,0.391790401615326,"Girella punctata",0.391790401615326
"55",55,"J","Low","S8B.L_J","S8B","S8","OB","S","S","B",30,FALSE,139.7358417,35.21270278,7.4,15.95,34.6,0.22,0.56,1,47587,45,3.89570713437418,0,0.0355139008552756,0.493391052178116,0.0540904028411121,"Lateolabrax japonicus",0.493391052178116
"56",56,"N","Low","S8B.L_N","S8B","S8","OB","S","S","B",15,FALSE,139.7358417,35.21270278,7.7,18.44,32.69,0.49,1.45,1,14724,31,8.78037599950427,0,0.102214072262972,0,0.127343113284434,"Engraulis japonicus",0.236756316218419
"57",57,"J","High","S8U.H_J","S8U","S8","OB","S","S","U",29,FALSE,139.7358417,35.21270278,8.8,15.35,34.42,0.28,0.58,1,51790,37,2.12171505545471,0,0.0086310098474609,0.679745124541417,0.0534273025680633,"Lateolabrax japonicus",0.679745124541417
"58",58,"N","High","S8U.H_N","S8U","S8","OB","S","S","U",14,FALSE,139.7358417,35.21270278,8.4,18.42,32.94,0.42,1.36,1,49340,46,3.89481784177419,0,0.0237940818808269,0.015281718686664,0.48664369679773,"Girella punctata",0.48664369679773
"59",59,"J","Low","S8U.L_J","S8U","S8","OB","S","S","U",29,FALSE,139.7358417,35.21270278,7.4,15.97,34.61,0.18,0.47,1,59149,37,2.66153026859624,0,0.00936617694297452,0.607144668548919,0.0334578775634415,"Lateolabrax japonicus",0.607144668548919
"60",60,"N","Low","S8U.L_N","S8U","S8","OB","S","S","U",14,FALSE,139.7358417,35.21270278,7.7,18.43,32.68,0.46,1.29,1,37187,34,8.82913971219915,0,0.117218382768172,0.00268911178637696,0.207169172022481,"Girella punctata",0.207169172022481
